date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2019-01-04,Bear,0.41740497946739197,0,0,0.0,0.006985975995229761,0.0,1.0,1.0070104348486804
2019-01-07,Bear,0.3827856481075287,0,0,0.0,0.009648587336497393,0.0,1.0,1.016773688036035
2019-01-08,Bear,0.13850106298923492,0,0,0.0,0.004089671332822161,0.0,1.0,1.0209404728225118
2019-01-09,Bear,0.12018250674009323,0,0,0.0,0.004508241374462229,0.0,1.0,1.0255535094311679
2019-01-10,Bear,0.10385668277740479,0,0,0.0,-0.0001463085444824661,-0.0,1.0,1.0254034731659754
2019-01-11,Bear,0.03695866838097572,0,0,0.0,-0.00527139458724949,-0.0,1.0,1.0200123885985553
2019-01-14,Bear,0.09014292061328888,0,0,0.0,0.010664618879761001,0.0,1.0,1.030948643820656
2019-01-15,Bear,0.18872426450252533,0,0,0.0,0.0022195205290883643,0.0,1.0,1.0332393967462188
2019-01-16,Bear,0.013643930666148663,0,0,0.0,0.007562730706235749,0.0,1.0,1.0410831306975936
2019-01-17,Bear,0.06042460724711418,0,0,0.0,0.01309691283985578,0.0,1.0,1.0548077848379678
2019-01-18,Bear,0.09003890305757523,0,0,0.0,-0.014258476827972471,-0.0,1.0,1.0398745480832483
2019-01-22,Bear,0.13345292210578918,0,0,0.0,0.002200489919450871,0.0,1.0,1.0421653010088108
2019-01-23,Bear,0.03661290556192398,0,0,0.0,0.001374780110977555,0.0,1.0,1.0435990344452797
2019-01-24,Bear,0.02724968083202839,0,0,0.0,0.008452867700518018,0.0,1.0,1.052457827370742
2019-01-25,Bear,0.13186725974082947,0,0,0.0,-0.007877775848708898,-0.0,1.0,1.0441993723547192
2019-01-28,Bear,0.15644249320030212,0,0,0.0,-0.0014573079351148383,-0.0,1.0,1.0426787605924546
2019-01-29,Bear,0.110087089240551,0,0,0.0,0.015429609891560045,0.0,1.0,1.0588916446963823
2019-01-30,Bear,0.0864618644118309,0,0,0.0,0.008560648809767757,0.0,1.0,1.067995355432634
2019-01-31,Bear,0.12770219147205353,0,0,0.0,0.0008982065848071141,0.0,1.0,1.0689550668384564
2019-02-01,Bear,0.020193709060549736,0,0,0.0,0.006753381117479676,0.0,1.0,1.0761985593047267
2019-02-04,Bear,0.08442749083042145,0,0,0.0,0.0046973704373502,0.0,1.0,1.081265754531028
2019-02-05,Bear,0.10650179535150528,0,0,0.0,-0.0022269157175087858,-0.0,1.0,1.0788605459198721
2019-02-06,Bear,0.07447866350412369,0,0,0.0,-0.009401193202230233,-0.0,1.0,1.0687654965959321
2019-02-07,Bear,0.1506989300251007,0,0,0.0,0.0006759725660127,0.0,1.0,1.0694881969864314
2019-02-08,Bear,0.07608067989349365,0,0,0.0,0.0007088518038183947,0.0,1.0,1.0702465743808645
2019-02-11,Bear,0.07608067989349365,0,0,0.0,0.012807852902838604,0.0,1.0,1.0840422932561016
2019-02-12,Bear,0.11194470524787903,0,0,0.0,0.0030194315937109753,0.0,1.0,1.0873204313716192
2019-02-13,Bear,0.05959482863545418,0,0,0.0,-0.0026551633836986214,-0.0,1.0,1.0844372473320836
2019-02-14,Bear,0.08846378326416016,0,0,0.0,0.010820004664957538,0.0,1.0,1.0962345718653463
2019-02-15,Bear,0.11608453094959259,0,0,0.0,0.0014976213265920058,0.0,1.0,1.097877546108671
2019-02-19,Bear,0.053018808364868164,0,0,0.0,0.00177553356074094,0.0,1.0,1.0998285961021816
