Date,log_return,volatility_10_annualized,trend_20d,momentum_12_1,Close,cluster_id,regime_label
2017-01-03,0.008450766753157112,0.0742204941295145,0.0296126732991153,0.084937361372124,2257.830078125,3,Low Volatility
2017-01-04,0.005705963770549438,0.0792117303340959,0.0295142101429209,0.0833240849528489,2270.75,3,Low Volatility
2017-01-05,-0.0007709676024811847,0.0771825329183845,0.0253381580715653,0.1023306748822185,2269.0,3,Low Volatility
2017-01-06,0.0035107891805790594,0.0778386603453903,0.0157715885074208,0.1297215758704379,2276.97998046875,3,Low Volatility
2017-01-09,-0.003554905471559629,0.0797278029323658,0.0100596680189903,0.1536964720610093,2268.89990234375,3,Low Volatility
2017-01-10,0.0,0.0795794148628524,0.0041382494860205,0.1550005787820577,2268.89990234375,3,Low Volatility
2017-01-11,0.0028256423891019514,0.0800434453604073,0.0081019741657218,0.1531494831972527,2275.320068359375,3,Low Volatility
2017-01-12,-0.002147112393729617,0.0659998707252899,-0.0005636214292446,0.1772937759845623,2270.43994140625,3,Low Volatility
2017-01-13,0.0018481313951466559,0.0657836718671909,0.0094348054277607,0.1672541982514153,2274.639892578125,3,Low Volatility
2017-01-17,-0.0029719144562184454,0.0621028072309712,0.0025871832839886,0.1809396754877192,2267.889892578125,3,Low Volatility
2017-01-18,0.0017622004698093201,0.0479776949067557,0.0061015405047782,0.184283702987844,2271.889892578125,3,Low Volatility
2017-01-19,-0.003615837624319374,0.0428610226525021,0.0005125301652477,0.194294312262762,2263.68994140625,3,Low Volatility
2017-01-20,0.0033605840612999428,0.0464854262979088,0.0002422018253947,0.1910854963420251,2271.31005859375,3,Low Volatility
2017-01-23,-0.002693749646069815,0.0441193774965835,8.837904002783037e-06,0.1746356818609643,2265.199951171875,3,Low Volatility
2017-01-24,0.006543140528962317,0.0529077417036262,0.0084166896553614,0.1879368413091083,2280.070068359375,3,Low Volatility
2017-01-25,0.007994052795968681,0.0647285028069595,0.0151598099162512,0.1720268922563437,2298.3701171875,3,Low Volatility
2017-01-26,-0.0007356549352631034,0.0648323363509968,0.0121783060764394,0.1842007470919513,2296.679931640625,3,Low Volatility
2017-01-27,-0.0008668394897415927,0.0634319191569527,0.0197031072964692,0.1809332452789086,2294.68994140625,3,Low Volatility
2017-01-30,-0.006027673496096654,0.0723891125967844,0.0139687815322409,0.1480829535745806,2280.89990234375,3,Low Volatility
2017-01-31,-0.0008903016080325452,0.0705046375207144,0.0177263146210628,0.148232940688254,2278.8701171875,3,Low Volatility
2017-02-01,0.00029831898811628964,0.0701429974990231,0.0095738668560221,0.1625060747096311,2279.550048828125,3,Low Volatility
2017-02-02,0.0005701468386910137,0.0665965024045091,0.0044380499241636,0.165977221441214,2280.85009765625,3,Low Volatility
2017-02-03,0.007238496854553608,0.0733474591588403,0.0124475143811984,0.17015761691924,2297.419921875,3,Low Volatility
2017-02-06,-0.002117597513709103,0.0725563522903429,0.0068191276869103,0.1880408075931107,2292.56005859375,3,Low Volatility
2017-02-07,0.00022680346384577153,0.0661821230877312,0.0106008366223156,0.2058066546967471,2293.080078125,3,Low Volatility
2017-02-08,0.0006930821486096318,0.0518417132812935,0.0112939187709253,0.2029155898719477,2294.669921875,3,Low Volatility
2017-02-09,0.00573606373596025,0.0594541698599514,0.0142043401177834,0.2031045580027085,2307.8701171875,3,Low Volatility
2017-02-10,0.0035597068220090916,0.0607718011698618,0.0199111593335223,0.2183076477210667,2316.10009765625,3,Low Volatility
2017-02-13,0.005232133584011204,0.050018108939246,0.0232951615223869,0.1968305201202911,2328.25,3,Low Volatility
2017-02-14,0.003999327195672579,0.0479365273638192,0.030266403174278,0.1822969137737529,2337.580078125,3,Low Volatility
2017-02-15,0.00497988866573445,0.0475559479880805,0.0334840913702031,0.1629788886918932,2349.25,3,Low Volatility
2017-02-16,-0.0008644916015501692,0.0500958754795173,0.0362354373929721,0.1694177212856373,2347.219970703125,3,Low Volatility
2017-02-17,0.001677149327237158,0.0439087202533176,0.0345520026589097,0.1658279169431196,2351.159912109375,3,Low Volatility
2017-02-21,0.0060298500200691545,0.0397447484030105,0.0432756023250485,0.1548377699053435,2365.3798828125,3,Low Volatility
2017-02-22,-0.001082786146804093,0.0428433408081168,0.0356496756492821,0.1646765978300621,2362.820068359375,3,Low Volatility
2017-02-23,0.00041889897125923353,0.0432759260428101,0.0280745218245724,0.1667897783243924,2363.81005859375,3,Low Volatility
2017-02-24,0.0014922502320316529,0.0408528190943494,0.0303024269918673,0.1634994643899105,2367.340087890625,3,Low Volatility
2017-02-27,0.0010174652677336642,0.0410761004378809,0.0321867317493426,0.164635674784212,2369.75,3,Low Volatility
2017-02-28,-0.0025817061151949088,0.0440277365334951,0.0356326991302444,0.1719229663860422,2363.639892578125,3,Low Volatility
2017-03-01,0.013581211083725323,0.0747570258933333,0.0501042118220022,0.1423069074883269,2395.9599609375,3,Low Volatility
2017-03-02,-0.0058771169721052695,0.0838516373658921,0.0439287758617805,0.1373306560191925,2381.919921875,3,Low Volatility
2017-03-03,0.0005037503685347897,0.0831036404901454,0.0438623793916245,0.1341363406869919,2383.1201171875,3,Low Volatility
2017-03-06,-0.0032826227635658124,0.0864978982773375,0.033341259773505,0.1314060476597411,2375.31005859375,3,Low Volatility
2017-03-07,-0.0029176259020898777,0.08360660284444,0.0325412313851243,0.1377599217134309,2368.389892578125,3,Low Volatility
2017-03-08,-0.002286827964063899,0.0843100227622624,0.0300275999572145,0.1469460802557281,2362.97998046875,3,Low Volatility
2017-03-09,0.0007995756127663866,0.0843837517555391,0.0301340934213712,0.1421332109367596,2364.8701171875,3,Low Volatility
2017-03-10,0.0032633397058585423,0.0856925897447613,0.0276613693912696,0.1426705002882466,2372.60009765625,3,Low Volatility
2017-03-13,0.0003665656191696328,0.0855856260463642,0.0244682281884301,0.1321440184353555,2373.469970703125,3,Low Volatility
2017-03-14,-0.003384748980891005,0.086396206308827,0.0158513456235278,0.1369654938739764,2365.449951171875,3,Low Volatility
2017-03-15,0.008339879124686365,0.0647516233893319,0.0201918975525416,0.1440362583923057,2385.260009765625,3,Low Volatility
2017-03-16,-0.0016280347991836145,0.0579292774766406,0.0135839740876235,0.1424508577061984,2381.3798828125,3,Low Volatility
2017-03-17,-0.0013151792642314352,0.0581855119087257,0.0131332864249421,0.1408571633033367,2378.25,3,Low Volatility
2017-03-20,-0.0020119160803802947,0.0566322439318726,0.0094442210173245,0.1355967044507603,2373.469970703125,3,Low Volatility
2017-03-21,-0.012485594590102116,0.0838804478282916,-0.0090712235928466,0.1362887618737052,2344.02001953125,3,Low Volatility
2017-03-22,0.0018881028474626675,0.0847486234068726,-0.0061003345985798,0.1431963847905466,2348.449951171875,3,Low Volatility
2017-03-23,-0.001060832144830083,0.0843918667873925,-0.007580065714669,0.1485201081744097,2345.9599609375,3,Low Volatility
2017-03-24,-0.0008443522139384829,0.0813132421251633,-0.0099166681606391,0.1493171489250457,2343.97998046875,3,Low Volatility
2017-03-27,-0.0010201075858456302,0.0808553827385796,-0.0119542410142186,0.1502642922690048,2341.590087890625,3,Low Volatility
2017-03-28,0.007225308829623951,0.0903704677031739,-0.0021472260693997,0.1425037454825014,2358.570068359375,3,Low Volatility
2017-03-29,0.0010847362038301697,0.0773727531175876,-0.0146437009492948,0.1355811593737404,2361.1298828125,3,Low Volatility
2017-03-30,0.0029308109117050134,0.0797134093970903,-0.0058357730654845,0.1512042128170863,2368.06005859375,3,Low Volatility
2017-03-31,-0.0022575939382668176,0.0801025345156146,-0.0085971173722863,0.1390161367783814,2362.719970703125,3,Low Volatility
2017-04-03,-0.0016434753080133316,0.0799490027918658,-0.0069579699167338,0.1427333671927708,2358.840087890625,3,Low Volatility
2017-04-04,0.0005593660746613713,0.0448428599978469,-0.0034809779399827,0.1496470428409995,2360.159912109375,3,Low Volatility
2017-04-05,-0.003059536811522123,0.0479035151738404,-0.004253686787441,0.1362766190068966,2352.949951171875,3,Low Volatility
2017-04-06,0.001927650293734993,0.0480649133951099,-0.0031256121064722,0.1460378650128376,2357.489990234375,3,Low Volatility
2017-04-07,-0.0008274724629448716,0.0480518625723872,-0.0072164242752756,0.1440547380209875,2355.5400390625,3,Low Volatility
2017-04-10,0.000687450135783276,0.0473061187072651,-0.0068955397586622,0.1500616236164499,2357.159912109375,3,Low Volatility
2017-04-11,-0.0014349082919582845,0.0307438125876823,-0.0049456990697295,0.1408124353542297,2353.780029296875,3,Low Volatility
2017-04-12,-0.0037670374189869064,0.0344735376772166,-0.0170526156134027,0.1274376166047807,2344.929931640625,3,Low Volatility
2017-04-13,-0.006838020289804216,0.0401661019636256,-0.0222626011040233,0.1356045832993348,2328.949951171875,3,Low Volatility
2017-04-17,0.008576465691107291,0.0648991394956963,-0.0123709561486847,0.134961318076297,2349.010009765625,3,Low Volatility
2017-04-18,-0.0029076028458332546,0.065782329166244,-0.0132666429141377,0.1271264131982676,2342.18994140625,3,Low Volatility
