Date,trend_20d,price_vs_sma20d,mean_reversion_20d,volatility_10_annualized,momentum_12_1,amihud_20d,Close
2017-01-03,0.02961267329911538,0.0022770792813367313,0.2904872804247657,0.07422049412951456,0.08493736137212407,-21.419634507955674,2257.830078125
2017-01-04,0.029514210142920945,0.006537004078069181,1.0526472038200054,0.07921173033409594,0.08332408495284899,-21.41039823845363,2270.75
2017-01-05,0.025338158071565323,0.004497437653495376,1.0376917121071132,0.0771825329183845,0.10233067488221857,-21.43764070487915,2269.0
2017-01-06,0.015771588507420845,0.007235831249057219,1.6896770883287762,0.07783866034539036,0.12972157587043795,-21.539592251063375,2276.97998046875
2017-01-09,0.010059668018990334,0.0031576794476499124,0.7746289030346654,0.07972780293236588,0.15369647206100934,-21.51427202901324,2268.89990234375
2017-01-10,0.004138249486020501,0.002949931458068588,0.7146580010492559,0.07957941486285242,0.15500057878205772,-21.590686669180112,2268.89990234375
2017-01-11,0.00810197416572186,0.005379936526087921,1.2566640958449669,0.0800434453604073,0.15314948319725274,-21.562315107597527,2275.320068359375
2017-01-12,-0.0005636214292446612,0.0032519604425993156,0.7639635564876434,0.06599987072528998,0.1772937759845623,-21.618200458297633,2270.43994140625
2017-01-13,0.009434805427760748,0.004633709455608446,1.08455371412988,0.06578367186719097,0.16725419825141538,-21.706807993832353,2274.639892578125
2017-01-17,0.0025871832839886805,0.0015228537002027723,0.355702481087914,0.06210280723097124,0.18093967548771922,-21.712327643332735,2267.889892578125
2017-01-18,0.006101540504778209,0.00298323473898306,0.6959866661866357,0.04797769490675574,0.18428370298784405,-21.705106707070676,2271.889892578125
2017-01-19,0.0005125301652477353,-0.0006624276963292763,-0.15475362999889886,0.042861022652502176,0.19429431226276206,-21.666896916990098,2263.68994140625
2017-01-20,0.0002422018253947319,0.0026894055794160834,0.6271704410781016,0.04648542629790883,0.19108549634202512,-21.658283703892838,2271.31005859375
2017-01-23,8.837904002783037e-06,-8.395901209447626e-06,-0.00195792895999573,0.044119377496583574,0.17463568186096437,-21.645740005790273,2265.199951171875
2017-01-24,0.008416689655361477,0.006131740258489963,1.362269772202642,0.05290774170362622,0.1879368413091083,-21.56219567089356,2280.070068359375
2017-01-25,0.015159809916251241,0.013433833699560712,2.4459060825492998,0.06472850280695955,0.17202689225634374,-21.459702252799197,2298.3701171875
2017-01-26,0.012178306076439471,0.012068271653373881,1.9529108862240754,0.06483233635099682,0.18420074709195136,-21.476916004241545,2296.679931640625
2017-01-27,0.019703107296469242,0.010194863714700735,1.615166347701283,0.06343191915695276,0.18093324527890864,-21.574438114153686,2294.68994140625
2017-01-30,0.013968781532240935,0.003425224327321491,0.5780052200909266,0.07238911259678442,0.14808295357458062,-21.492321694446453,2280.89990234375
2017-01-31,0.017726314621062854,0.001650086509100608,0.34690349989094643,0.07050463752071447,0.14823294068825402,-21.545202936893432,2278.8701171875
2017-02-01,0.009573866856022175,0.0014709025482361267,0.332850143062396,0.0701429974990231,0.1625060747096311,-21.669949496277354,2279.550048828125
2017-02-02,0.004438049924163604,0.001819784129606142,0.4133133731180525,0.0665965024045091,0.16597722144121407,-21.757508004090802,2280.85009765625
2017-02-03,0.012447514381198468,0.008468331692210446,1.7773822953021599,0.0733474591588403,0.17015761691924008,-21.650532048496764,2297.419921875
2017-02-06,0.006819127686910388,0.005991063381343188,1.2064598970508287,0.07255635229034293,0.18804080759311073,-21.674402715533763,2292.56005859375
2017-02-07,0.010600836622315694,0.005685713781243887,1.1291078657493245,0.06618212308773122,0.20580665469674714,-21.73229847148098,2293.080078125
2017-02-08,0.011293918770925336,0.005814589097604697,1.1433626183530672,0.05184171328129353,0.20291558987194774,-21.720558586741113,2294.669921875
2017-02-09,0.014204340117783456,0.010879445674448755,1.9235453101404705,0.05945416985995143,0.20310455800270852,-21.675461902363235,2307.8701171875
2017-02-10,0.019911159333522346,0.01347083232812806,2.122059724625363,0.06077180116986186,0.21830764772106676,-21.65530757679071,2316.10009765625
2017-02-13,0.023295161522386913,0.017593781128524368,2.3480135202004697,0.050018108939246006,0.1968305201202911,-21.606254149157028,2328.25
2017-02-14,0.03026640317427804,0.02011802882475177,2.336572995820233,0.04793652736381929,0.18229691377375296,-21.595598425924585,2337.580078125
2017-02-15,0.03348409137020313,0.02348313938087348,2.3436358795174304,0.0475559479880805,0.1629788886918932,-21.553564715156785,2349.25
2017-02-16,0.036235437392972164,0.020741438623980223,1.948014136948761,0.050095875479517354,0.1694177212856373,-21.601491432393903,2347.219970703125
2017-02-17,0.03455200265890975,0.020682675736470774,1.8255143435034376,0.04390872025331761,0.16582791694311969,-21.63475798148878,2351.159912109375
2017-02-21,0.043275602325048595,0.02462777950268848,2.0371829462217055,0.0397447484030105,0.15483776990534356,-21.59278445414378,2365.3798828125
2017-02-22,0.03564967564928215,0.02168778764824985,1.6971797300778013,0.04284334080811688,0.16467659783006214,-21.68987379402518,2362.820068359375
2017-02-23,0.028074521824572443,0.02067179683021275,1.5222963741756552,0.04327592604281018,0.16678977832439248,-21.834566150701693,2363.81005859375
2017-02-24,0.030302426991867377,0.020639025471286005,1.446373313668048,0.04085281909434948,0.16349946438991056,-21.822258803451838,2367.340087890625
2017-02-27,0.032186731749342605,0.020027568866509554,1.3537058403350304,0.041076100437880944,0.16463567478421204,-21.821048374032976,2369.75
2017-02-28,0.03563269913024446,0.015589077381337952,1.067526395741691,0.04402773653349511,0.1719229663860422,-21.8931685379194,2363.639892578125
2017-03-01,0.050104211822002274,0.02689293600745979,1.7797813685360784,0.07475702589333331,0.14230690748832692,-21.680656883084115,2395.9599609375
2017-03-02,0.04392877586178058,0.018640819494164247,1.2642746993042355,0.08385163736589211,0.13733065601919256,-21.59983293264411,2381.919921875
2017-03-03,0.04386237939162457,0.016930250011961193,1.2001730905378531,0.08310364049014546,0.13413634068699193,-21.601290351213123,2383.1201171875
2017-03-06,0.033341259773505036,0.011915849524477974,0.8763050090847254,0.0864978982773375,0.1314060476597411,-21.665478586947213,2375.31005859375
2017-03-07,0.0325412313851243,0.007340674201368758,0.5854476932390326,0.08360660284444,0.1377599217134309,-21.655997683612917,2368.389892578125
2017-03-08,0.03002759995721455,0.0035479008083334016,0.3189036621972355,0.08431002276226242,0.1469460802557281,-21.62652724723318,2362.97998046875
2017-03-09,0.03013409342137127,0.002855690432882679,0.30434474635189096,0.08438375175553917,0.14213321093675962,-21.62581475065259,2364.8701171875
2017-03-10,0.027661369391269633,0.004754687303334109,0.5945701841108919,0.08569258974476139,0.1426705002882466,-21.66809435035059,2372.60009765625
2017-03-13,0.02446822818843016,0.0039035645147063674,0.5863285557961991,0.08558562604636429,0.1321440184353555,-21.7207203716924,2373.469970703125
2017-03-14,0.015851345623527805,-0.0002751572331099179,-0.04907266548051931,0.08639620630882701,0.13696549387397647,-21.75566053426608,2365.449951171875
2017-03-15,0.020191897552541655,0.0070825917091822625,1.3857554031016415,0.06475162338933198,0.14403625839230577,-21.692222965998713,2385.260009765625
2017-03-16,0.013583974087623503,0.004762850359497356,0.9784573574988416,0.05792927747664069,0.14245085770619842,-21.74918090570445,2381.3798828125
2017-03-17,0.013133286424942183,0.002785835328074874,0.6401064464979132,0.05818551190872574,0.14085716330333672,-21.743039585244954,2378.25
2017-03-20,0.009444221017324566,0.00029985125352879866,0.07794341519375857,0.05663224393187268,0.13559670445076039,-21.73941407392504,2373.469970703125
2017-03-21,-0.009071223592846617,-0.011666987477605974,-2.4977637306382388,0.08388044782829163,0.13628876187370526,-21.648948004728823,2344.02001953125
2017-03-22,-0.006100334598579825,-0.009499077140627138,-1.860962719951509,0.08474862340687267,0.14319638479054664,-21.638586764284888,2348.449951171875
2017-03-23,-0.007580065714669064,-0.010176676069096075,-1.818825070016114,0.08439186678739252,0.14852010817440978,-21.629805043165877,2345.9599609375
2017-03-24,-0.009916668160639172,-0.01052445669093431,-1.7209444219381664,0.08131324212516337,0.14931714892504575,-21.639839810870345,2343.97998046875
2017-03-27,-0.011954241014218638,-0.010945455166808822,-1.6486975905884225,0.0808553827385796,0.15026429226900484,-21.64011784724156,2341.590087890625
2017-03-28,-0.0021472260693997988,-0.0036666729921322207,-0.5485428764441014,0.09037046770317399,0.14250374548250141,-21.574215165966447,2358.570068359375
2017-03-29,-0.0146437009492948,-0.001851024119541631,-0.30523287322106346,0.0773727531175876,0.1355811593737404,-21.760468741278547,2361.1298828125
2017-03-30,-0.0058357730654845915,0.0013720121760208146,0.2344947195782957,0.07971340939709039,0.1512042128170863,-21.80814204891776,2368.06005859375
2017-03-31,-0.008597117372286323,-0.00045499913353044585,-0.08178331534130766,0.08010253451561468,0.13901613677838143,-21.776907565072495,2362.719970703125
2017-04-03,-0.006957969916733848,-0.0017486069173949389,-0.3201714513188507,0.07994900279186581,0.1427333671927708,-21.803799834421696,2358.840087890625
2017-04-04,-0.003480977939982709,-0.0010160950119519657,-0.1867496813987593,0.0448428599978469,0.14964704284099958,-21.844470169113404,2360.159912109375
2017-04-05,-0.0042536867874410295,-0.003856400463890782,-0.6989875772750302,0.04790351517384042,0.13627661900689664,-21.82806694057975,2352.949951171875
2017-04-06,-0.0031256121064722753,-0.0017783875179921513,-0.3217786130287265,0.04806491339510993,0.1460378650128376,-21.806586327410088,2357.489990234375
2017-04-07,-0.0072164242752756754,-0.002243673862563075,-0.41195951268643116,0.048051862572387284,0.14405473802098753,-21.84789897349246,2355.5400390625
2017-04-10,-0.006895539758662205,-0.0012125195827964357,-0.22842310715556413,0.04730611870726518,0.15006162361644998,-21.84134616701751,2357.159912109375
2017-04-11,-0.004945699069729519,-0.0023980113113702055,-0.45144013443862685,0.030743812587682325,0.14081243535422971,-21.874626421516172,2353.780029296875
2017-04-12,-0.017052615613402794,-0.005298820264924689,-1.1007431997190635,0.034473537677216615,0.12743761660478073,-21.954819106314176,2344.929931640625
2017-04-13,-0.022262601104023352,-0.010977593322191937,-2.2330730600572366,0.040166101963625626,0.13560458329933486,-21.845837149121145,2328.949951171875
2017-04-17,-0.012370956148684779,-0.0018390807173371687,-0.42322322116879224,0.0648991394956963,0.13496131807629702,-21.70691166307478,2349.010009765625
2017-04-18,-0.013266642914137771,-0.004075240845371439,-1.0262763990481027,0.065782329166244,0.1271264131982676,-21.68713862789325,2342.18994140625
2017-04-19,-0.0024988737209041116,-0.005660924893887708,-1.375203529486283,0.06554637678562093,0.12203475921502094,-21.85559020468257,2338.169921875
2017-04-20,0.0031418737946071204,0.0016961530046513372,0.41129306419735523,0.07656695141549578,0.10878790957568422,-21.74175023280423,2355.840087890625
2017-04-21,0.0011630178323216967,-0.001402025480081556,-0.3424023093022365,0.07734484315984108,0.1158835752804388,-21.704085792304966,2348.68994140625
